curp,id_viaje,origen,destino
ESGS040208FHOIMV90,v-000001,,
MORE850519FZMERH13,v-000001,,
RERJ010812MAJFKO37,v-000001,,
LAFA790814FYTKMO15,v-000002,,
MACL031101MVDWMN23,v-000002,,
HEPR810419FCYNEW99,v-000003,,
LOSM820303FBQIWW50,v-000003,,
BABC010515MDBCGT30,v-000004,,
ROVM080104FZNETY07,v-000004,,
GAJR990507MNNFJX58,v-000004,,
MEMJ840118MCSXRD60,v-000004,,
SASA010312FGNTEB08,v-000005,,
MATL810922FQRJNT85,v-000005,,
CAAE771122FSTQQJ76,v-000006,,
HELA990926FCHQWO20,v-000006,,
CHRR000305FYMBGU47,v-000007,,
SOAA040529FPDDEA47,v-000007,,
GAAM040525FCQOJV81,v-000008,,
HEHB801010FANLPO65,v-000008,,
CAVA530610MCTMLS98,v-000008,,
ROCC730723MQEVRW71,v-000008,,
MARF820809MSDPHO85,v-000009,,
ALSO580514MTDQCN69,v-000009,,
ZESA031013FCALXL06,v-000009,,
PESI830415FTFGHE26,v-000009,,
ROVM650310FJIHNB30,v-000010,,
GOMC771027MYRCSL40,v-000010,,
SACM590113MAXVVL13,v-000010,,
GARC610307MAQAUR26,v-000011,,
ESLA850718MMIPJY70,v-000012,,
REJZ040910FTPRQV97,v-000012,,
ROSK040820FBAWEG62,v-000012,,
ROME010815FOIHIC43,v-000013,,
BRZL980525FMGNFY18,v-000013,,
MEQC571001MCLIMZ14,v-000013,,
GUIG011119MSZDDA47,v-000013,,
GARJ020505MPTWCS92,v-000014,,
NACV550710MYDRUH46,v-000014,,
HEMF040515MMWZWV08,v-000014,,
MACG040228MTYWNR46,v-000014,,
CRLT050717MTAWES42,v-000015,,
AGQD020221FMSWIW45,v-000016,,
DISM780128FJQHNC44,v-000016,,
SEPA630126FORVMH36,v-000016,,
HELE000130MVFGLP49,v-000016,,
MADM010920FBRTBT17,v-000017,,
HEBM020319FGDRNV97,v-000017,,
RUGA000104FBATQO06,v-000018,,
CARR010910FSLXGP74,v-000018,,
FIRG771005FMCXJX65,v-000019,,
PLRR010105FYHYNO49,v-000019,,
SAGM010514FTMYLO65,v-000019,,
PEAA990205MJZTHE45,v-000020,,
DUCR030828MJWLXY93,v-000020,,
JIHM850214FCTXOB77,v-000020,,
DEIM030528FCUDJO27,v-000020,,
TEBJ031117MCCDJY01,v-000021,,
EUVE041016MTAPSP40,v-000021,,
CRBB020916FMTNCT23,v-000021,,
CAGL820414FCMFVG76,v-000021,,
DUDD030813FGNKZG99,v-000022,,
VAVL800729MSBJUS80,v-000022,,
CAGG030905MBRLVR27,v-000022,,
PATM610419FHLDJX51,v-000023,,
ROCR050910MGZSLH01,v-000023,,
ALTB030601FNRKMY26,v-000024,,
SODM020924MGFSGR00,v-000024,,
ROTY010221FCBJUW80,v-000025,,
MOGA030927MMYNRE93,v-000025,,
SAOA800814MOIKYV01,v-000026,,
ROSM810121FAFFGI71,v-000026,,
GUOM030922MGWACI76,v-000027,,
CRTR980310MCDXJZ29,v-000027,,
HEAI010418FTXJQQ83,v-000027,,
CAVJ000923MQIACQ47,v-000028,,
CAFA030113FVPQTL48,v-000028,,
LAMN620509FTZNBA88,v-000029,,
VIRJ030204MCTKFK76,v-000030,,
MAMH050115MCVHJY35,v-000031,,
SAPL020312FTZAXT92,v-000031,,
NAGM000116FDRJTJ42,v-000031,,
JADA030421MMKDNG45,v-000032,,
BEBJ050330MCWMHJ73,v-000032,,
COTD001006FCUKET15,v-000033,,
ZUCL830619FCHJCE34,v-000033,,
HEPM050329FCSPZC75,v-000033,,
PERD830818FSXFJU84,v-000034,,
MEVD020930FCHXIT87,v-000034,,
MAMD780107MTWUCD91,v-000034,,
ARAE010509MCFFKQ09,v-000034,,
VEZM011012FCKHLK23,v-000035,,
TARJ790615MMNHDX82,v-000036,,
ISSM030403FCPPIM34,v-000036,,
GAMS040304FPHMPS98,v-000037,,
VAMJ010710MSMPFV87,v-000037,,
HDFJ041001MBBNHH33,v-000038,,
RODL030812MMFVWP46,v-000038,,
HEMM050613FPOPQY79,v-000038,,
DAJJ000716FGDNFE54,v-000039,,
DIPG710827MTKGDY03,v-000039,,
CAHJ000723MCJKKK44,v-000039,,
GAVC990913FBZMHJ59,v-000040,,
CAAR010618MAYJZR59,v-000040,,
LOPP050215MTJWDY63,v-000041,,
COMR030718MCXIHO15,v-000041,,
DOGB000902FTNQNL74,v-000041,,
MOGG060118MVFLHM16,v-000042,,
DZIW030427MDQKXX93,v-000042,,
ARRA020524FVIUSZ91,v-000043,,
RONA000724MCANWU48,v-000043,,
MERK000824FYBTJM16,v-000043,,
CARN000721FQVDKI70,v-000043,,
MOAA060617MNGIRH14,v-000044,,
LUVE620109MYBDDN44,v-000044,,
MOMC060623FAUQID96,v-000045,,
VACG830127FHYDKV10,v-000045,,
FROJ030612FSKMMQ07,v-000046,,
RODL050606FMWRWI64,v-000046,,
