curp,nombre,a_paterno,a_materno,calle_num,municipio,cp,colonia,estado,tel_casa,tel_celular,email,fotografia,facultad,instituto,unidad,es_alumno,es_academico,es_trabajador
HEAJ000418MCTAXE33,JOSE LUIS,HEREDIA,ABAD,Angel R Cavada Mz 57 L 42,Álvaro Obregón,15000,Jalalpa Grande,Cuidad de México,5529598813,5574091918,joseabad00@ciencias.unam.mx,proyecto/data/photos/photo_HEAJ000418MCTAXE33.jpg,Facultad de Ciencias,No aplica,No aplica,True,False,False
COMM000216MBMRQO28,ALBERTO,CONDE,MONTELLANO,Pacifico 274 Estac 14,Coyoacán,43500,Rosedal,Cuidad de México,5513919370,5581272589,albertomontellano00@economia.unam.mx,proyecto/data/photos/photo_COMM000216MBMRQO28.jpg,Facultad de Economía,No aplica,No aplica,True,False,False
GOCF021116MTFGIF34,JOSE,GOMEZ,CANSECO,"Avd. PACIFICO, 350 Dpto. E-001",Coyoacán,43300,EL ROSEDAL,Cuidad de México,5582085546,5665840154,josegomez02@odontologia.unam.mx,proyecto/data/photos/photo_GOCF021116MTFGIF34.png,Facultad de Odontología,No aplica,No aplica,True,False,False
GALJ750730MTARBN60,JORGE,GARCIA,LA,Cartzo 119 Local a,Cuauhtémoc,64000,Sta Maria la Rivera,Cuidad de México,5673773566,5508290382,jorgegarcia75@archivo.unam.mx,proyecto/data/photos/photo_GALJ750730MTARBN60.png,No aplica,No aplica,Archivo General,False,False,True
ZUSJ041122MCQPAX05,MANUEL,ZUÑIGA,SANTOS,Camelia M-7 L-9,Álvaro Obregón,17400,San Clemente,Cuidad de México,5534082271,5699183055,manuelsantos04@quimica.unam.mx,proyecto/data/photos/photo_ZUSJ041122MCQPAX05.png,Facultad de Química,No aplica,No aplica,True,False,False
CAVA840719MTSPVQ93,JULIO CESAR,CACHO,VELAZQUEZ,"Cl. HENEQUEN, S/N Edif. 62, Sec. ZONA VERDE, Local c. PASILLO",Iztacalco,89000,INFONAVIT IZTACALCO,Cuidad de México,5522868818,5574390078,juliovelazquez84@posgrado.unam.mx,proyecto/data/photos/photo_CAVA840719MTSPVQ93.jpg,No aplica,No aplica,Unidad de Posgrado,False,False,True
RAPA040230MMTRJL13,GILBERTO,RAMOS,PEREZ,"Cl. RECREO, 99 Edif. A, Dpto. 701",Benito Juárez,32300,ACTIPAN,Cuidad de México,5668561501,5673662599,gilbertoperez04@ciencias.unam.mx,proyecto/data/photos/photo_RAPA040230MMTRJL13.jpg,Facultad de Ciencias,No aplica,No aplica,True,False,False
LAAJ010530MJSFEE69,RAYMUNDO,LARA,ALVAREZ,"Puno 950 Edif. PUNO, Casa  1",Gustavo A. Madero,73000,Lindavista,Cuidad de México,5518394543,5606718628,raymundolara01@derecho.unam.mx,proyecto/data/photos/photo_LAAJ010530MJSFEE69.png,Facultad de Derecho,No aplica,No aplica,True,False,False
RECP660619MCXUAV82,ROGELIO,REYES,COCOM,"CALLE 2, 201 Dpto. J-401",Iztacalco,81000,AGRICOLA PANTITLAN,Cuidad de México,5642525739,5530778735,rogeliococom66@tienda.unam.mx,proyecto/data/photos/photo_RECP660619MCXUAV82.jpg,No aplica,No aplica,Tienda UNAM,False,False,True
CAMC730123MTAWKY61,GILDARDO,CARBAJAL,MANZANERO,Fuerte Reyes Magos Z 6 Lt 22 Mz 138,Gustavo A. Madero,72200,Castillo Grande,Cuidad de México,5671754571,5543187179,gildardocarbajal73@dgp.unam.mx,proyecto/data/photos/photo_CAMC730123MTAWKY61.png,No aplica,No aplica,Rectoría,False,False,True
SASR030925MGTIZQ31,RAFAEL,SANCHEZ,SANCHEZ,Libertad 100 18-2,Coyoacán,47000,Pedregal de Carrasco,Cuidad de México,5503055872,5527691870,rafaelsanchez03@medicina.unam.mx,proyecto/data/photos/photo_SASR030925MGTIZQ31.png,Facultad de Medicina,No aplica,No aplica,True,False,False
CAFJ010517MGYFDC34,OTHONIEL,CAZARES,FRANCO,"CALLE SANTA TERESA, 64 Dpto. H-114",Iztapalapa,92100,TEPALCATES,Cuidad de México,5604564201,5533319616,othonielfranco01@arquitectura.unam.mx,proyecto/data/photos/photo_CAFJ010517MGYFDC34.png,Facultad de Arquitectura,No aplica,No aplica,True,False,False
DOMJ610909MOLHWI25,MIGUEL ANGEL,DORANTES,MORALES,EJE 2 PTE GABRIEL MANCERA 1802,Benito Juárez,31000,DEL VALLE SUR,Cuidad de México,5687458222,5518588051,migueldorantes61@dgp.unam.mx,proyecto/data/photos/photo_DOMJ610909MOLHWI25.jpg,No aplica,No aplica,Rectoría,False,False,True
SOMJ600928MCRACM60,FABIAN,SOLIS,MONTEJO,MAESTRO ANTONIO CASO 123 DEPTO-204,Cuauhtémoc,64700,SAN RAFAEL,Cuidad de México,5524236752,5550720997,fabiansolis60@ii.unam.mx,proyecto/data/photos/photo_SOMJ600928MCRACM60.jpg,No aplica,Instituto de Ingeniería,No aplica,False,True,False
MOSF030628MCSEBB18,ROGELIO,MOTA,SALINAS,"Avd. JOSï¿½ MARIA VELASCO, 18 Local c. L-1",Benito Juárez,39000,SAN JOSE INSURGENTES,Cuidad de México,5658892368,5599687241,rogeliosalinas03@derecho.unam.mx,proyecto/data/photos/photo_MOSF030628MCSEBB18.png,Facultad de Derecho,Instituto de Ciencias del Mar y Limnología,No aplica,True,True,False
ROGF040723MCNOCV08,FELIX,RODRIGUEZ,GUILLERMO,Edif 109 Dep 301 a,Azcapotzalco,25000,Unidad Cuitlahuac,Cuidad de México,5536235353,5623744833,felixguillermo04@psicologia.unam.mx,proyecto/data/photos/photo_ROGF040723MCNOCV08.jpg,Facultad de Psicología,Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas,No aplica,True,True,False
SOCA070530MGHSOD88,JAVIER,SOLANO,CANO,Norte 66 a N0.7921 Acc. 5,Gustavo A. Madero,74000,Diaz Miron,Cuidad de México,5623324769,5660928069,javiercano07@derecho.unam.mx,proyecto/data/photos/photo_SOCA070530MGHSOD88.jpg,Facultad de Derecho,No aplica,No aplica,True,False,False
TOGM750922MNCGPH46,RICARDO,TORRES,GONZALEZ,Etnologos No. 55,Iztapalapa,94300,Apatlaco,Cuidad de México,5511570260,5656039272,ricardogonzalez75@muac.unam.mx,proyecto/data/photos/photo_TOGM750922MNCGPH46.jpg,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
DEAR740707MOJZQH65,SOTERO,DE LA CRUZ,ALVARADO,CLAVIJERO 25 ESTACIONAMIENTO 13,Cuauhtémoc,68200,TRANSITO,Cuidad de México,5666608780,5643634797,soteroalvarado74@quimica.unam.mx,proyecto/data/photos/photo_DEAR740707MOJZQH65.png,No aplica,Instituto de Química,No aplica,False,True,False
REHR040929MCLGOD30,JORGE MAURICIO,REZA,HERNANDEZ,Tejocotes 49 Edif. A Depto. 301,Benito Juárez,31000,TLACOQUEMECATL,Cuidad de México,5597133848,5511735102,jorgehernandez04@medicina.unam.mx,proyecto/data/photos/photo_REHR040929MCLGOD30.jpg,Facultad de Medicina,No aplica,No aplica,True,False,False
HURR030408MTSKGY95,OSCAR,HUIZAR,ROMO,PIEDRA GRANITO NUM 1,Álvaro Obregón,14900,La Cascada,Cuidad de México,5578637158,5561143193,oscarromo03@arquitectura.unam.mx,proyecto/data/photos/photo_HURR030408MTSKGY95.jpg,Facultad de Arquitectura,No aplica,No aplica,True,False,False
MELM010622MVNPNU87,JOSE ARMANDO,MENDOZA,LOPEZ,Serafin Olarte 26 Depto 2-b,Benito Juárez,36300,Independencia,Cuidad de México,5515492989,5520414281,joselopez01@derecho.unam.mx,proyecto/data/photos/photo_MELM010622MVNPNU87.png,Facultad de Derecho,No aplica,No aplica,True,False,False
SACM040827MDZUOT80,VENTURA,SANCHEZ,CHAVEZ,"Avd. SANTA FE, 462 Edif. TORRE 1-C, Dpto. 2306",Cuajimalpa,53480,SANTA FE CUAJIMALPA,Cuidad de México,5548740977,5698053646,venturachavez04@odontologia.unam.mx,proyecto/data/photos/photo_SACM040827MDZUOT80.jpg,Facultad de Odontología,No aplica,No aplica,True,False,False
SORM750119MMHJWR44,JOSE ELEAZAR,SOTO,RAMIREZ,FERROCARRIL DE CINTURA 60,Venustiano Carranza,62000,Morelos,Cuidad de México,5510600236,5521733590,joseramirez75@juricas.unam.mx,proyecto/data/photos/photo_SORM750119MMHJWR44.png,No aplica,Instituto de Investigaciones Jurídicas,No aplica,False,True,False
ESSS000508MTTPYK16,ANTONIO,ESCALANTE,SANCHEZ,"Eje 5 SUR AV SAN ANTONIO, 7 Edif. T-1, Dpto. 1405",Álvaro Obregón,11800,CAROLA,Cuidad de México,5653089210,5512312248,antonioescalante00@derecho.unam.mx,proyecto/data/photos/photo_ESSS000508MTTPYK16.jpg,Facultad de Derecho,No aplica,No aplica,True,False,False
SAGA050127MMZVKT46,FRANCISCO,SANTIAGO,GUERRERO,Iglesia 2 Depto 1004 Edif a,Álvaro Obregón,10900,Tizapan,Cuidad de México,5623603379,5683348146,franciscoguerrero05@ciencias.unam.mx,proyecto/data/photos/photo_SAGA050127MMZVKT46.png,Facultad de Ciencias,No aplica,No aplica,True,False,False
GAAE990728MBOEUA46,FRANCISCO JAVIER,GARCIA,ARGUELLES,Viaducto Miguel Aleman 15 Int 204,Miguel Hidalgo,11800,Escandon,Cuidad de México,5682469059,5680874864,franciscogarcia99@ingenieria.unam.mx,proyecto/data/photos/photo_GAAE990728MBOEUA46.png,Facultad de Ingeniería,No aplica,No aplica,True,False,False
VIAJ060509MDHUVL16,OTHONIEL,VIZCARRA,ALAMILLA,"Cl. YACATAS, 476 Bod 4",Benito Juárez,30200,NARVARTE PONIENTE,Cuidad de México,5682440736,5576161337,othonielvizcarra06@derecho.unam.mx,proyecto/data/photos/photo_VIAJ060509MDHUVL16.jpg,Facultad de Derecho,No aplica,No aplica,True,False,False
YOBG001126MODGFL38,PEDRO,YOCUPICIO,BELTRAN,AV CEYLAN 850 COND CO-3 EDIF 35 DEPTO 102,Azcapotzalco,22300,ESTACION PANTACO,Cuidad de México,5651031283,5578566367,pedroyocupicio00@ciencias.unam.mx,proyecto/data/photos/photo_YOBG001126MODGFL38.jpg,Facultad de Ciencias,Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas,No aplica,True,True,False
QUAE590205MOLSKD47,RODOLFO,QUIROGA,AGUILAR,Leonardo Da Vinci 125 Edif E Depto 42,Benito Juárez,37000,STA MARIA NONOALCO,Cuidad de México,5622117890,5551724124,rodolfoquiroga59@juricas.unam.mx,proyecto/data/photos/photo_QUAE590205MOLSKD47.jpg,No aplica,Instituto de Investigaciones Jurídicas,No aplica,False,True,False
SAMV040710MZJIQD89,ROBERTO CESAR,SANDOVAL,MENDOZA,Av. Tenochtitlan No. 38,Xochimilco,16500,Pbo. Sta Cruz Acalpixca,Cuidad de México,5556294724,5628401339,robertosandoval04@mvz.unam.mx,proyecto/data/photos/photo_SAMV040710MZJIQD89.png,Facultad de Medicina Veterinaria y Zootecnia,No aplica,No aplica,True,False,False
LAGA700325MPUJGG42,BENJAMIN,LARIOS,GIL,Coquimbo 646,Gustavo A. Madero,73000,Lindavista,Cuidad de México,5590851695,5627467558,benjamingil70@muac.unam.mx,proyecto/data/photos/photo_LAGA700325MPUJGG42.jpg,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
VEGJ070605MCXDUE64,DAGOBERTO,VELAZQUEZ,GONZALEZ,Germanio Num.104 Edif.A Depto.402,Iztapalapa,98300,El Manto,Cuidad de México,5697940856,5611005315,dagobertovelazquez07@medicina.unam.mx,proyecto/data/photos/photo_VEGJ070605MCXDUE64.jpg,Facultad de Medicina,No aplica,No aplica,True,False,False
JIRM970318MPDWBD74,OSCAR,JIMENEZ,RIOS,Alfonso Reyes 147 Dpto.202,Cuauhtémoc,61000,H.condesa,Cuidad de México,5678783550,5682784486,oscarrios97@fca.unam.mx,proyecto/data/photos/photo_JIRM970318MPDWBD74.jpg,Facultad de Contaduría y Administración,No aplica,No aplica,True,False,False
REHA031015MSFWRG41,FAUSTO,REYES,HERNANDEZ,2a Privada de Portoalegre 5,Iztapalapa,94400,Sn Andres Tetepilco,Cuidad de México,5651836119,5668776418,faustohernandez03@derecho.unam.mx,proyecto/data/photos/photo_REHA031015MSFWRG41.png,Facultad de Derecho,No aplica,No aplica,True,False,False
REMD000726MOFZIL81,LUIS GUILLERMO,REYNA,MU%OZ,Puerto Arturo 96 10,Venustiano Carranza,15430,Aquiles Serdan,Cuidad de México,5510322512,5513437537,luisreyna00@medicina.unam.mx,proyecto/data/photos/photo_REMD000726MOFZIL81.jpg,Facultad de Medicina,No aplica,No aplica,True,False,False
GAPO800116MSREBM63,MIGUEL ANGEL,GARCIA,PACHECO,Boston 77 Depto 401,Benito Juárez,37200,NOCHE BUENA,Cuidad de México,5528998881,5592119623,miguelpacheco80@dgp.unam.mx,proyecto/data/photos/photo_GAPO800116MSREBM63.png,No aplica,No aplica,Rectoría,False,False,True
CACJ030914MCAGMV21,DAMIAN,CASTRO,CORTES,Abasolo 124,Coyoacán,41000,El Carmen Coy,Cuidad de México,5573684749,5621173956,damiancastro03@arquitectura.unam.mx,proyecto/data/photos/photo_CACJ030914MCAGMV21.png,Facultad de Arquitectura,No aplica,No aplica,True,False,False
VAAD030729MQTBZN75,AGUSTIN ANTONIO,VALDES,ALONSO,Buena Suerte 304 Depto D-101,Tláhuac,13219,Los Olivos,Cuidad de México,5548775902,5523091312,agustinalonso03@medicina.unam.mx,proyecto/data/photos/photo_VAAD030729MQTBZN75.png,Facultad de Medicina,No aplica,No aplica,True,False,False
COLR040109MGUPDV48,HERMENEGILDO,CORONADO,LOPEZ,"Crta. MEXICO TOLUCA, 5860 Edif. TORRE B-C, Dpto. 202B",Cuajimalpa,55000,CONTADERO,Cuidad de México,5569744945,5570170316,hermenegildolopez04@fca.unam.mx,proyecto/data/photos/photo_COLR040109MGUPDV48.jpg,Facultad de Contaduría y Administración,No aplica,No aplica,True,False,False
