id_socio,nombre,a_paterno,a_materno,rfc,num_licencia,calle_num,colonia,cp,municipio,estado,celular,email,fotografia,ingreso,egreso,es_chofer,es_duenio
s-1,LUIS ENRIQUE,FLORES,SOSA,FLSJ830823MJZ0,S53745449,Zapote Secc.2 Edif.centauri 139 202-a,Romulo Sanchez Mireles,14070,Tlalpan,Cuidad de México,5522353121,luis777@hotmail.com,proyecto/data/photos/photo_FLSJ830823MJZ0.jpg,2021-10-15,No aplica,True,True
s-2,HUMBERTO,HERNANDEZ,CAMACHO,HECM760914MDU0,T05186522,Froa#o 34 B 202,Valle Gomez,15210,Venustiano Carranza,Cuidad de México,5565590412,humberto643@gmail.com,proyecto/data/photos/photo_HECM760914MDU0.jpg,2011-01-18,No aplica,True,False
s-3,RODOLFO,GUERRERO,GUTIERREZ,GUGF830125MQH4,No aplica,Rio Usumacinta 33 Mza. 10 Lt. 14,Ampl. Lomas de San Bernabe,10300,Magdalena Contreras,Cuidad de México,5625717050,rodolfo709@gmail.com,proyecto/data/photos/photo_GUGF830125MQH4.jpg,2015-05-19,No aplica,False,True
s-4,RUBEN,VILLANUEVA,MEZA,VIMJ830715MCC9,B28290500,Halacho Lt 13 a Mz 806,San Nicolas Totolapan,14100,Tlalpan,Cuidad de México,5520305069,ruben946@gmail.com,proyecto/data/photos/photo_VIMJ830715MCC9.jpg,2018-02-10,2018-07-30,True,False
s-5,RAFAEL,SAN,GASPAR,SAGJ780722MVG5,H82224922,Edif 6 Ent D Depto 203,Unidad Lindavista Vallejo,77200,Gustavo A. Madero,Cuidad de México,5501206771,rafael610@hotmail.com,proyecto/data/photos/photo_SAGJ780722MVG5.jpg,2016-05-14,No aplica,True,False
s-6,ISAIAS,BARRON,DZIB,BADA790105MPG6,K65914887,Gabino Barreda Lt 9 Mz 90,Zona Escolar,72300,Gustavo A. Madero,Cuidad de México,5644263301,isaias223@yahoo.com,proyecto/data/photos/photo_BADA790105MPG6.png,2012-03-04,2019-05-20,True,False
s-7,MARIO,CAMPUZANO,OROZCO,CAOA740514MCS3,No aplica,"Cl. PASCLE, MZ-12- LT-48",PEDREGAL DE SANTO DOMINGO,43690,Coyoacán,Cuidad de México,5668259960,mario841@outlook.com,proyecto/data/photos/photo_CAOA740514MCS3.png,2010-03-29,No aplica,False,True
s-8,GERARDO,REVELES,ASTUDILLO,REAJ790105MWI7,E51430431,TLAMATECA 59,PEDREGAL DE STO DOMINGO,43600,Coyoacán,Cuidad de México,5680855793,gerardo833@gmail.com,proyecto/data/photos/photo_REAJ790105MWI7.jpg,2011-06-19,No aplica,True,False
s-9,ORLANDO,MAXIMO,HERNANDEZ,MAHP790814MLB7,No aplica,Calle 28 33,Guadalupe Proletaria,76700,Gustavo A. Madero,Cuidad de México,5591246795,orlando151@gmail.com,proyecto/data/photos/photo_MAHP790814MLB7.png,2012-01-20,No aplica,False,True
s-10,ESTEBAN,ELIZALDE,RODRIGUEZ,ELRC861004MER9,Z05369916,"Cl. MATLACOATL, 60 Edif. C-10, Dpto. 101",PUEBLO SANTA BARBARA,22300,Azcapotzalco,Cuidad de México,5664340710,esteban775@gmail.com,proyecto/data/photos/photo_ELRC861004MER9.jpg,2019-12-06,No aplica,True,False
