curp,id_viaje,h_entrada,h_salida,redondo
HEGJ030722MQIHTH56,v-025001,08:00:00,,True
HEGJ030722MQIHTH56,v-025002,,14:00:00,True
HEGJ030722MQIHTH56,v-025003,08:00:00,,False
HEGJ030722MQIHTH56,v-025004,08:00:00,,False
HEGJ030722MQIHTH56,v-025005,08:00:00,,True
HEGJ030722MQIHTH56,v-025006,,14:00:00,True
HEGJ030722MQIHTH56,v-025007,08:00:00,,True
HEGJ030722MQIHTH56,v-025008,,14:00:00,True
HEGJ030722MQIHTH56,v-025009,08:00:00,,False
HEGJ030722MQIHTH56,v-025010,08:00:00,,False
HEGJ030722MQIHTH56,v-025011,08:00:00,,False
HEGJ030722MQIHTH56,v-025012,08:00:00,,True
HEGJ030722MQIHTH56,v-025013,,14:00:00,True
HEGJ030722MQIHTH56,v-025014,08:00:00,,True
HEGJ030722MQIHTH56,v-025015,,14:00:00,True
HEGJ030722MQIHTH56,v-025016,08:00:00,,True
HEGJ030722MQIHTH56,v-025017,,14:00:00,True
HEGJ030722MQIHTH56,v-025018,08:00:00,,True
HEGJ030722MQIHTH56,v-025019,,14:00:00,True
HEGJ030722MQIHTH56,v-025020,08:00:00,,True
HEGJ030722MQIHTH56,v-025021,,14:00:00,True
ANHJ050102MVWKVW28,v-025022,07:00:00,,False
ANHJ050102MVWKVW28,v-025023,07:00:00,,True
ANHJ050102MVWKVW28,v-025024,,15:00:00,True
ANHJ050102MVWKVW28,v-025025,07:00:00,,False
ANHJ050102MVWKVW28,v-025026,07:00:00,,False
ANHJ050102MVWKVW28,v-025027,07:00:00,,True
ANHJ050102MVWKVW28,v-025028,,15:00:00,True
ANHJ050102MVWKVW28,v-025029,07:00:00,,True
ANHJ050102MVWKVW28,v-025030,,15:00:00,True
ANHJ050102MVWKVW28,v-025031,07:00:00,,True
ANHJ050102MVWKVW28,v-025032,,15:00:00,True
ANHJ050102MVWKVW28,v-025033,07:00:00,,False
ANHJ050102MVWKVW28,v-025034,07:00:00,,True
ANHJ050102MVWKVW28,v-025035,,15:00:00,True
ANHJ050102MVWKVW28,v-025036,07:00:00,,True
ANHJ050102MVWKVW28,v-025037,,15:00:00,True
ANHJ050102MVWKVW28,v-025038,07:00:00,,True
ANHJ050102MVWKVW28,v-025039,,15:00:00,True
ANHJ050102MVWKVW28,v-025040,07:00:00,,True
ANHJ050102MVWKVW28,v-025041,,15:00:00,True
ANHJ050102MVWKVW28,v-025042,07:00:00,,True
ANHJ050102MVWKVW28,v-025043,,15:00:00,True
ANHJ050102MVWKVW28,v-025044,07:00:00,,True
ANHJ050102MVWKVW28,v-025045,,15:00:00,True
ANHJ050102MVWKVW28,v-025046,07:00:00,,True
ANHJ050102MVWKVW28,v-025047,,15:00:00,True
ANHJ050102MVWKVW28,v-025048,07:00:00,,True
ANHJ050102MVWKVW28,v-025049,,15:00:00,True
ANHJ050102MVWKVW28,v-025050,07:00:00,,True
ANHJ050102MVWKVW28,v-025051,,15:00:00,True
ANHJ050102MVWKVW28,v-025052,07:00:00,,False
ANHJ050102MVWKVW28,v-025053,07:00:00,,True
ANHJ050102MVWKVW28,v-025054,,15:00:00,True
ANHJ050102MVWKVW28,v-025055,07:00:00,,True
ANHJ050102MVWKVW28,v-025056,,15:00:00,True
ANHJ050102MVWKVW28,v-025057,07:00:00,,True
ANHJ050102MVWKVW28,v-025058,,15:00:00,True
ANHJ050102MVWKVW28,v-025059,07:00:00,,False
ANHJ050102MVWKVW28,v-025060,07:00:00,,True
ANHJ050102MVWKVW28,v-025061,,15:00:00,True
ANHJ050102MVWKVW28,v-025062,07:00:00,,True
ANHJ050102MVWKVW28,v-025063,,15:00:00,True
ANHJ050102MVWKVW28,v-025064,07:00:00,,True
ANHJ050102MVWKVW28,v-025065,,15:00:00,True
ANHJ050102MVWKVW28,v-025066,07:00:00,,True
ANHJ050102MVWKVW28,v-025067,,15:00:00,True
ANHJ050102MVWKVW28,v-025068,07:00:00,,True
ANHJ050102MVWKVW28,v-025069,,15:00:00,True
ANHJ050102MVWKVW28,v-025070,07:00:00,,False
ANHJ050102MVWKVW28,v-025071,07:00:00,,True
ANHJ050102MVWKVW28,v-025072,,15:00:00,True
ANHJ050102MVWKVW28,v-025073,07:00:00,,False
ANHJ050102MVWKVW28,v-025074,07:00:00,,False
ANHJ050102MVWKVW28,v-025075,07:00:00,,False
ANHJ050102MVWKVW28,v-025076,07:00:00,,True
ANHJ050102MVWKVW28,v-025077,,15:00:00,True
ANHJ050102MVWKVW28,v-025078,07:00:00,,True
ANHJ050102MVWKVW28,v-025079,,15:00:00,True
ANHJ050102MVWKVW28,v-025080,07:00:00,,True
ANHJ050102MVWKVW28,v-025081,,15:00:00,True
ANHJ050102MVWKVW28,v-025082,07:00:00,,True
ANHJ050102MVWKVW28,v-025083,,15:00:00,True
ANHJ050102MVWKVW28,v-025084,07:00:00,,True
ANHJ050102MVWKVW28,v-025085,,15:00:00,True
ANHJ050102MVWKVW28,v-025086,07:00:00,,False
ANHJ050102MVWKVW28,v-025087,07:00:00,,True
ANHJ050102MVWKVW28,v-025088,,15:00:00,True
ANHJ050102MVWKVW28,v-025089,07:00:00,,True
ANHJ050102MVWKVW28,v-025090,,15:00:00,True
ANHJ050102MVWKVW28,v-025091,07:00:00,,True
ANHJ050102MVWKVW28,v-025092,,15:00:00,True
ANHJ050102MVWKVW28,v-025093,07:00:00,,False
ANHJ050102MVWKVW28,v-025094,07:00:00,,True
ANHJ050102MVWKVW28,v-025095,,15:00:00,True
ANHJ050102MVWKVW28,v-025096,07:00:00,,True
ANHJ050102MVWKVW28,v-025097,,15:00:00,True
ANHJ050102MVWKVW28,v-025098,07:00:00,,True
ANHJ050102MVWKVW28,v-025099,,15:00:00,True
GOGZ050523FNHOUT54,v-025100,08:00:00,,True
GOGZ050523FNHOUT54,v-025101,,14:00:00,True
GOGZ050523FNHOUT54,v-025102,08:00:00,,True
GOGZ050523FNHOUT54,v-025103,,14:00:00,True
GOGZ050523FNHOUT54,v-025104,08:00:00,,True
GOGZ050523FNHOUT54,v-025105,,14:00:00,True
GOGZ050523FNHOUT54,v-025106,08:00:00,,True
GOGZ050523FNHOUT54,v-025107,,14:00:00,True
GOGZ050523FNHOUT54,v-025108,08:00:00,,False
GOGZ050523FNHOUT54,v-025109,08:00:00,,False
GOGZ050523FNHOUT54,v-025110,08:00:00,,False
GOGZ050523FNHOUT54,v-025111,08:00:00,,False
GOGZ050523FNHOUT54,v-025112,08:00:00,,False
GOGZ050523FNHOUT54,v-025113,08:00:00,,True
GOGZ050523FNHOUT54,v-025114,,14:00:00,True
GOGZ050523FNHOUT54,v-025115,08:00:00,,False
GOGZ050523FNHOUT54,v-025116,08:00:00,,False
GOGZ050523FNHOUT54,v-025117,08:00:00,,True
GOGZ050523FNHOUT54,v-025118,,14:00:00,True
GOGZ050523FNHOUT54,v-025119,08:00:00,,False
GOGZ050523FNHOUT54,v-025120,08:00:00,,True
GOGZ050523FNHOUT54,v-025121,,14:00:00,True
GOGZ050523FNHOUT54,v-025122,08:00:00,,False
GOGZ050523FNHOUT54,v-025123,08:00:00,,True
GOGZ050523FNHOUT54,v-025124,,14:00:00,True
GOGZ050523FNHOUT54,v-025125,08:00:00,,False
GOGZ050523FNHOUT54,v-025126,08:00:00,,False
GOGZ050523FNHOUT54,v-025127,08:00:00,,False
GOGZ050523FNHOUT54,v-025128,08:00:00,,True
GOGZ050523FNHOUT54,v-025129,,14:00:00,True
GOGZ050523FNHOUT54,v-025130,08:00:00,,True
GOGZ050523FNHOUT54,v-025131,,14:00:00,True
GOGZ050523FNHOUT54,v-025132,08:00:00,,True
GOGZ050523FNHOUT54,v-025133,,14:00:00,True
GOGZ050523FNHOUT54,v-025134,08:00:00,,True
GOGZ050523FNHOUT54,v-025135,,14:00:00,True
GOGZ050523FNHOUT54,v-025136,08:00:00,,True
GOGZ050523FNHOUT54,v-025137,,14:00:00,True
GOGZ050523FNHOUT54,v-025138,08:00:00,,False
GOGZ050523FNHOUT54,v-025139,08:00:00,,False
GOGZ050523FNHOUT54,v-025140,08:00:00,,False
GOGZ050523FNHOUT54,v-025141,08:00:00,,False
GOGZ050523FNHOUT54,v-025142,08:00:00,,True
GOGZ050523FNHOUT54,v-025143,,14:00:00,True
GOGZ050523FNHOUT54,v-025144,08:00:00,,False
GOGZ050523FNHOUT54,v-025145,08:00:00,,True
GOGZ050523FNHOUT54,v-025146,,14:00:00,True
GOME060804FQQRGP76,v-025147,08:00:00,,True
GOME060804FQQRGP76,v-025148,,14:00:00,True
GOME060804FQQRGP76,v-025149,08:00:00,,True
GOME060804FQQRGP76,v-025150,,14:00:00,True
GOME060804FQQRGP76,v-025151,08:00:00,,False
GOME060804FQQRGP76,v-025152,08:00:00,,True
GOME060804FQQRGP76,v-025153,,14:00:00,True
GOME060804FQQRGP76,v-025154,08:00:00,,False
GOME060804FQQRGP76,v-025155,08:00:00,,False
GOME060804FQQRGP76,v-025156,08:00:00,,True
GOME060804FQQRGP76,v-025157,,14:00:00,True
GOME060804FQQRGP76,v-025158,08:00:00,,True
GOME060804FQQRGP76,v-025159,,14:00:00,True
GOME060804FQQRGP76,v-025160,08:00:00,,False
GOME060804FQQRGP76,v-025161,08:00:00,,True
GOME060804FQQRGP76,v-025162,,14:00:00,True
GOME060804FQQRGP76,v-025163,08:00:00,,True
GOME060804FQQRGP76,v-025164,,14:00:00,True
GOME060804FQQRGP76,v-025165,08:00:00,,False
GOME060804FQQRGP76,v-025166,08:00:00,,True
GOME060804FQQRGP76,v-025167,,14:00:00,True
GOME060804FQQRGP76,v-025168,08:00:00,,True
GOME060804FQQRGP76,v-025169,,14:00:00,True
GOME060804FQQRGP76,v-025170,08:00:00,,True
GOME060804FQQRGP76,v-025171,,14:00:00,True
GOME060804FQQRGP76,v-025172,08:00:00,,False
GOME060804FQQRGP76,v-025173,08:00:00,,False
GOME060804FQQRGP76,v-025174,08:00:00,,True
GOME060804FQQRGP76,v-025175,,14:00:00,True
GOME060804FQQRGP76,v-025176,08:00:00,,False
GOME060804FQQRGP76,v-025177,08:00:00,,True
GOME060804FQQRGP76,v-025178,,14:00:00,True
GOME060804FQQRGP76,v-025179,08:00:00,,True
GOME060804FQQRGP76,v-025180,,14:00:00,True
GOME060804FQQRGP76,v-025181,08:00:00,,False
GOME060804FQQRGP76,v-025182,08:00:00,,True
GOME060804FQQRGP76,v-025183,,14:00:00,True
GOME060804FQQRGP76,v-025184,08:00:00,,True
GOME060804FQQRGP76,v-025185,,14:00:00,True
SARA011025MOGKZL83,v-025186,07:00:00,,True
SARA011025MOGKZL83,v-025187,,15:00:00,True
SARA011025MOGKZL83,v-025188,07:00:00,,False
SARA011025MOGKZL83,v-025189,07:00:00,,True
SARA011025MOGKZL83,v-025190,,15:00:00,True
SARA011025MOGKZL83,v-025191,07:00:00,,False
SARA011025MOGKZL83,v-025192,07:00:00,,True
SARA011025MOGKZL83,v-025193,,15:00:00,True
SARA011025MOGKZL83,v-025194,07:00:00,,False
SARA011025MOGKZL83,v-025195,07:00:00,,True
SARA011025MOGKZL83,v-025196,,15:00:00,True
SARA011025MOGKZL83,v-025197,07:00:00,,True
SARA011025MOGKZL83,v-025198,,15:00:00,True
SARA011025MOGKZL83,v-025199,07:00:00,,False
SARA011025MOGKZL83,v-025200,07:00:00,,True
SARA011025MOGKZL83,v-025201,,15:00:00,True
SARA011025MOGKZL83,v-025202,07:00:00,,True
SARA011025MOGKZL83,v-025203,,15:00:00,True
SARA011025MOGKZL83,v-025204,07:00:00,,False
SARA011025MOGKZL83,v-025205,07:00:00,,True
SARA011025MOGKZL83,v-025206,,15:00:00,True
SARA011025MOGKZL83,v-025207,07:00:00,,True
SARA011025MOGKZL83,v-025208,,15:00:00,True
SARA011025MOGKZL83,v-025209,07:00:00,,True
SARA011025MOGKZL83,v-025210,,15:00:00,True
SARA011025MOGKZL83,v-025211,07:00:00,,True
SARA011025MOGKZL83,v-025212,,15:00:00,True
SARA011025MOGKZL83,v-025213,07:00:00,,False
SARA011025MOGKZL83,v-025214,07:00:00,,True
SARA011025MOGKZL83,v-025215,,15:00:00,True
SARA011025MOGKZL83,v-025216,07:00:00,,False
SARA011025MOGKZL83,v-025217,07:00:00,,True
SARA011025MOGKZL83,v-025218,,15:00:00,True
SARA011025MOGKZL83,v-025219,07:00:00,,True
SARA011025MOGKZL83,v-025220,,15:00:00,True
SARA011025MOGKZL83,v-025221,07:00:00,,True
SARA011025MOGKZL83,v-025222,,15:00:00,True
SARA011025MOGKZL83,v-025223,07:00:00,,True
SARA011025MOGKZL83,v-025224,,15:00:00,True
SARA011025MOGKZL83,v-025225,07:00:00,,True
SARA011025MOGKZL83,v-025226,,15:00:00,True
SARA011025MOGKZL83,v-025227,07:00:00,,False
SARA011025MOGKZL83,v-025228,07:00:00,,False
SARA011025MOGKZL83,v-025229,07:00:00,,True
SARA011025MOGKZL83,v-025230,,15:00:00,True
SARA011025MOGKZL83,v-025231,07:00:00,,False
SARA011025MOGKZL83,v-025232,07:00:00,,True
SARA011025MOGKZL83,v-025233,,15:00:00,True
SARA011025MOGKZL83,v-025234,07:00:00,,True
SARA011025MOGKZL83,v-025235,,15:00:00,True
SARA011025MOGKZL83,v-025236,07:00:00,,False
SARA011025MOGKZL83,v-025237,07:00:00,,True
SARA011025MOGKZL83,v-025238,,15:00:00,True
SARA011025MOGKZL83,v-025239,07:00:00,,True
SARA011025MOGKZL83,v-025240,,15:00:00,True
SARA011025MOGKZL83,v-025241,07:00:00,,False
SARA011025MOGKZL83,v-025242,07:00:00,,False
SARA011025MOGKZL83,v-025243,07:00:00,,False
SARA011025MOGKZL83,v-025244,07:00:00,,True
SARA011025MOGKZL83,v-025245,,15:00:00,True
SARA011025MOGKZL83,v-025246,07:00:00,,False
SARA011025MOGKZL83,v-025247,07:00:00,,False
SARA011025MOGKZL83,v-025248,07:00:00,,False
ORMM990616FJFEPO91,v-025249,07:00:00,,False
ORMM990616FJFEPO91,v-025250,07:00:00,,True
ORMM990616FJFEPO91,v-025251,,14:00:00,True
ORMM990616FJFEPO91,v-025252,07:00:00,,True
ORMM990616FJFEPO91,v-025253,,14:00:00,True
ORMM990616FJFEPO91,v-025254,07:00:00,,True
ORMM990616FJFEPO91,v-025255,,14:00:00,True
ORMM990616FJFEPO91,v-025256,07:00:00,,True
ORMM990616FJFEPO91,v-025257,,14:00:00,True
AMRL040107FBSDGX62,v-025258,08:00:00,,True
AMRL040107FBSDGX62,v-025259,,14:00:00,True
AMRL040107FBSDGX62,v-025260,08:00:00,,True
AMRL040107FBSDGX62,v-025261,,14:00:00,True
AMRL040107FBSDGX62,v-025262,08:00:00,,True
AMRL040107FBSDGX62,v-025263,,14:00:00,True
AMRL040107FBSDGX62,v-025264,08:00:00,,False
AMRL040107FBSDGX62,v-025265,08:00:00,,False
AMRL040107FBSDGX62,v-025266,08:00:00,,True
AMRL040107FBSDGX62,v-025267,,14:00:00,True
AMRL040107FBSDGX62,v-025268,08:00:00,,False
AMRL040107FBSDGX62,v-025269,08:00:00,,True
AMRL040107FBSDGX62,v-025270,,14:00:00,True
AMRL040107FBSDGX62,v-025271,08:00:00,,False
AMRL040107FBSDGX62,v-025272,08:00:00,,True
AMRL040107FBSDGX62,v-025273,,14:00:00,True
AMRL040107FBSDGX62,v-025274,08:00:00,,True
AMRL040107FBSDGX62,v-025275,,14:00:00,True
AMRL040107FBSDGX62,v-025276,08:00:00,,False
AMRL040107FBSDGX62,v-025277,08:00:00,,True
AMRL040107FBSDGX62,v-025278,,14:00:00,True
AMRL040107FBSDGX62,v-025279,08:00:00,,True
AMRL040107FBSDGX62,v-025280,,14:00:00,True
AMRL040107FBSDGX62,v-025281,08:00:00,,False
AMRL040107FBSDGX62,v-025282,08:00:00,,True
AMRL040107FBSDGX62,v-025283,,14:00:00,True
AMRL040107FBSDGX62,v-025284,08:00:00,,False
AMRL040107FBSDGX62,v-025285,08:00:00,,True
AMRL040107FBSDGX62,v-025286,,14:00:00,True
AMRL040107FBSDGX62,v-025287,08:00:00,,False
AMRL040107FBSDGX62,v-025288,08:00:00,,True
AMRL040107FBSDGX62,v-025289,,14:00:00,True
AMRL040107FBSDGX62,v-025290,08:00:00,,False
AMRL040107FBSDGX62,v-025291,08:00:00,,False
AMRL040107FBSDGX62,v-025292,08:00:00,,True
AMRL040107FBSDGX62,v-025293,,14:00:00,True
AMRL040107FBSDGX62,v-025294,08:00:00,,False
AMRL040107FBSDGX62,v-025295,08:00:00,,False
AMRL040107FBSDGX62,v-025296,08:00:00,,True
AMRL040107FBSDGX62,v-025297,,14:00:00,True
AMRL040107FBSDGX62,v-025298,08:00:00,,True
AMRL040107FBSDGX62,v-025299,,14:00:00,True
AMRL040107FBSDGX62,v-025300,08:00:00,,False
AMRL040107FBSDGX62,v-025301,08:00:00,,True
AMRL040107FBSDGX62,v-025302,,14:00:00,True
AMRL040107FBSDGX62,v-025303,08:00:00,,True
AMRL040107FBSDGX62,v-025304,,14:00:00,True
AMRL040107FBSDGX62,v-025305,08:00:00,,False
AMRL040107FBSDGX62,v-025306,08:00:00,,True
AMRL040107FBSDGX62,v-025307,,14:00:00,True
PAJI590521FSUNRS99,v-025308,07:00:00,,True
PAJI590521FSUNRS99,v-025309,,15:00:00,True
